model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Samsung Galaxy F41 (6GB RAM + 128GB),19999,8.2,0,exynos,8,2.3,6000,1,15,6,128,6.4,60,3,android,64,32,1,2340,1080
Samsung Galaxy F24 5G,14999,7.8,1,snapdragon,8,2.2,5000,1,25,4,128,6.6,120,3,android,50,8,1,2408,1080
Samsung Galaxy F23 5G (6GB RAM + 128GB),16999,8,1,snapdragon,8,2.2,5000,1,25,6,128,6.6,120,3,android,50,8,1,2408,1080
Samsung Galaxy F23 5G,15999,7.8,1,snapdragon,8,2.2,5000,1,25,4,128,6.6,120,3,android,50,8,1,2408,1080
Samsung Galaxy F22 (6GB RAM + 128GB),13499,7.6,0,helio,8,2,6000,0,0,6,128,6.4,90,4,android,48,13,1,1600,720
Samsung Galaxy F22,11499,7.3,0,helio,8,2,6000,0,0,4,64,6.4,90,4,android,48,13,1,1600,720
Samsung Galaxy F14,14990,6.7,0,,8,0,5000,1,25,4,64,6.62,60,3,android,50,16,1,1080,2408
Samsung Galaxy F13 (4GB RAM + 128GB),11999,7.5,0,exynos,8,2,6000,1,15,4,128,6.6,60,3,android,50,8,1,1080,2408
Samsung Galaxy F13,10999,7.4,0,exynos,8,2,6000,1,15,4,64,6.6,60,3,android,50,8,1,1080,2408
Samsung Galaxy F12,10499,7.3,0,exynos,8,2,6000,1,15,4,64,6.5,90,4,android,48,8,1,1600,720
Samsung Galaxy F04,8499,6.8,0,helio,8,2.3,5000,1,15,4,64,6.5,60,2,android,13,5,1,1600,720
Samsung Galaxy A92 5G,47990,8,1,dimensity,8,3,5000,1,0,8,128,6.7,60,3,android,48,16,0,2400,1080
Samsung Galaxy A9 Pro (2019),39990,7.8,0,snapdragon,8,2.2,3400,1,0,6,128,6.4,60,3,android,24,24,1,2340,1080
Samsung Galaxy A83 5G,39990,8.6,1,snapdragon,8,3.2,4500,1,25,6,128,6.71,120,3,android,64,10,1,3200,1440
Samsung Galaxy A82 5G,39990,8.6,1,snapdragon,8,2.96,4500,1,25,6,128,6.71,120,3,android,64,10,1,3200,1440
Samsung Galaxy A75 5G,44999,8.3,1,snapdragon,8,0,5000,1,67,8,128,6.7,120,4,android,108,32,1,2412,1080
Samsung Galaxy A74 5G,42999,0,1,snapdragon,8,2.36,5000,1,33,8,128,6.7,120,4,android,108,32,1,2412,1080
Samsung Galaxy A73 5G (8GB RAM + 256GB),41990,0,1,snapdragon,8,2.4,5000,1,25,8,256,6.7,120,4,android,108,32,1,2400,1080
Samsung Galaxy A73 5G,41999,0,1,snapdragon,8,2.4,5000,1,25,8,128,6.7,120,4,android,108,32,1,2400,1080
Samsung Galaxy A71,22494,8.6,0,snapdragon,8,2.2,4500,1,25,8,128,6.7,60,4,android,64,32,1,2400,1080
Samsung Galaxy A7 (2018),21490,7,0,exynos,8,2.2,3300,0,0,4,64,6,60,3,android,24,24,1,1080,2220
Samsung Galaxy A54 5G,34999,7.6,1,exynos,8,0,5000,1,25,6,128,6.4,120,3,android,50,32,1,2400,1080
Samsung Galaxy A53 5G (8GB RAM + 128GB),33499,8.9,1,exynos,8,2.4,5000,1,25,8,128,6.5,120,4,android,64,32,1,2400,1080
Samsung Galaxy A53 5G,31999,8.7,1,exynos,8,2.4,5000,1,25,6,128,6.5,120,4,android,64,32,1,2400,1080
Samsung Galaxy A53 (8GB RAM + 256GB),36499,8.9,1,exynos,8,2.4,5000,1,25,8,256,6.5,120,4,android,64,32,1,2400,1080
Samsung Galaxy A52 (8GB RAM + 128GB),22494,8.6,0,snapdragon,8,2.3,4500,1,25,8,128,6.5,90,4,android,64,32,1,2400,1080
Samsung Galaxy A52,24990,8.3,0,snapdragon,8,2.3,4500,1,25,6,128,6.5,90,4,android,64,32,1,2400,1080
Samsung Galaxy A50s,15990,8,0,exynos,8,2.3,4000,1,15,4,128,6.4,60,3,android,48,32,1,2340,1080
Samsung Galaxy A40,17990,6.9,0,exynos,8,2.2,3100,1,15,4,64,5.9,60,2,android,16,25,1,2340,1080
Samsung Galaxy A34 5G,24999,7.5,1,exynos,8,0,5000,1,33,6,128,6.5,90,4,android,48,13,1,2400,1080
Samsung Galaxy A33 5G (8GB RAM + 128GB),27499,8.5,1,exynos,8,2.4,5000,1,25,8,128,6.4,90,4,android,48,13,1,2400,1080
Samsung Galaxy A33 5G,25999,8.2,1,exynos,8,2.4,5000,1,25,6,128,6.4,90,4,android,48,13,1,2400,1080
Samsung Galaxy A32 5G,24499,7.9,1,dimensity,8,2,5000,1,15,6,128,6.5,90,4,android,48,13,1,1600,720
