model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Vivo Y35,18499,8,0,snapdragon,8,2.4,5000,1,44,8,128,6.58,90,3,android,50,16,1,2408,1080
Vivo Y33s,16685,8,0,helio,8,2,5000,1,18,8,128,6.58,60,3,android,50,16,1,2408,1080
Vivo Y33T,15990,8.1,0,snapdragon,8,2.4,5000,1,18,8,128,6.58,90,3,android,50,16,1,2408,1080
Vivo Y3 (4GB RAM + 128GB),12990,7.1,0,helio,8,2.3,5000,1,0,4,128,6.35,60,3,android,13,16,1,1544,720
Vivo Y25,7499,0,0,helio,4,1.3,1900,0,0,1,16,4.5,60,1,android,5,2,1,854,480
Vivo Y22s,14990,7.7,0,snapdragon,8,2.4,5000,1,18,8,128,6.55,90,2,android,50,8,1,720,1612
Vivo Y22 (6GB RAM + 128GB),16499,7.5,0,helio,8,2,5000,1,18,6,128,6.55,60,2,android,50,8,1,1612,720
Vivo Y22,14499,7.2,0,helio,8,2,5000,1,18,4,64,6.55,60,2,android,50,8,1,1612,720
Vivo Y21s,14990,7.4,0,helio,8,2,5000,1,18,4,128,6.51,60,3,android,50,8,1,1600,720
Vivo Y21e,12499,6.9,0,snapdragon,8,2.4,5000,1,18,3,64,6.51,60,2,android,13,8,1,1600,720
Vivo Y21T,15499,7.4,0,snapdragon,8,2.4,5000,1,18,4,128,6.51,90,3,android,50,8,1,720,1600
Vivo Y21 2021,13489,6.9,0,helio,8,2.3,5000,1,18,4,64,6.51,60,2,android,13,8,1,1600,720
Vivo Y21 (2020),9990,6.5,0,snapdragon,8,1.8,5000,0,0,4,64,6.5,60,2,android,13,13,1,1544,720
Vivo Y20G,13990,6.9,0,helio,8,2,5000,1,18,4,64,6.51,60,3,android,13,8,1,1600,720
Vivo Y19,20000,7.3,0,helio,8,2,5000,1,18,4,128,6.53,60,3,android,16,16,1,2340,1080
Vivo Y16 (4GB RAM + 64GB),12489,6.8,0,helio,8,2.3,5000,1,10,4,64,6.51,60,2,android,13,5,1,1600,720
Vivo Y16 (3GB RAM + 64GB),10499,6.6,0,helio,8,2.3,5000,1,10,3,64,6.51,60,2,android,13,5,1,1600,720
Vivo Y16,9999,6.5,0,helio,8,2.3,5000,1,10,3,32,6.51,60,2,android,13,5,1,1600,720
Vivo Y15s,8499,6.6,0,helio,8,2.3,5000,0,0,3,32,6.51,60,2,android,13,8,1,1600,720
Vivo Y15C (3GB RAM + 64GB),10490,6.7,0,helio,8,2.3,5000,0,0,3,64,6.51,60,2,android,13,8,1,1600,720
Vivo Y15C,8499,6.6,0,helio,8,2.3,5000,0,0,3,32,6.51,60,2,android,13,8,1,1600,720
Vivo Y15,12500,7.1,0,helio,8,2,5000,0,0,4,64,6.35,60,3,android,13,16,1,1544,720
Vivo Y12a,9999,6.5,0,snapdragon,8,2,5000,0,0,3,32,6.51,60,2,android,13,8,1,1600,720
Vivo Y12G (3GB RAM + 64GB),11990,6.8,0,snapdragon,8,2,5000,0,0,3,64,6.51,60,3,android,13,8,1,1600,720
Vivo Y12 (3GB RAM + 64GB),11000,6.8,0,helio,8,2,5000,0,0,3,64,6.35,60,3,android,13,8,1,1544,720
Vivo Y11 (2019),9490,6.4,0,snapdragon,8,2,5000,0,0,3,32,6.35,60,2,android,13,8,1,1544,720
Vivo Y100,29990,8.2,1,dimensity,8,2.4,5000,1,66,8,128,6,120,3,android,50,50,0,2400,1080
Vivo Y10,12490,6.3,0,helio,8,2.3,5000,0,0,4,128,6.51,60,2,android,13,8,0,1600,720
Vivo Y02s,8990,6.1,0,helio,8,2.3,5000,1,10,3,32,6.51,60,1,android,8,5,1,1600,720
Vivo Y02 (2GB RAM + 32GB),7999,0,0,helio,8,0,5000,1,10,2,32,6.51,60,1,android,8,5,1,1600,720
Vivo Y02,8999,0,0,helio,8,0,5000,1,10,3,32,6.51,60,1,android,8,5,1,1600,720
